"Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
8,2016,1441,"Carr, Derek","QB","oak","a","tam",39.82,5900
8,2016,1252,"Rodgers, Aaron","QB","gnb","a","atl",33.84,7500
8,2016,1131,"Brady, Tom","QB","nwe","a","buf",33.1,7600
8,2016,1501,"Prescott, Dak","QB","dal","h","phi",28.28,5800
8,2016,1207,"Palmer, Carson","QB","ari","a","car",27.52,6000
8,2016,1175,"McCown, Josh","QB","cle","h","nyj",25.64,5200
8,2016,1301,"Ryan, Matt","QB","atl","h","gnb",24.42,7000
8,2016,1151,"Brees, Drew","QB","nor","h","sea",20.7,6900
8,2016,1409,"Luck, Andrew","QB","ind","h","kan",20.4,6800
8,2016,1465,"Winston, Jameis","QB","tam","h","oak",18.8,5700
8,2016,1400,"Taylor, Tyrod","QB","buf","h","nwe",18.12,5200
8,2016,1413,"Foles, Nick","QB","kan","a","ind",16.82,5000
8,2016,1231,"Rivers, Philip","QB","sdg","a","den",15.68,6100
8,2016,1242,"Fitzpatrick, Ryan","QB","nyj","a","cle",14.42,6200
8,2016,1340,"Stafford, Matthew","QB","det","a","hou",13.6,6400
8,2016,1378,"Newton, Cam","QB","car","h","ari",12.78,7400
8,2016,1514,"Wentz, Carson","QB","phi","a","dal",11.78,5100
8,2016,1412,"Wilson, Russell","QB","sea","a","nor",10.22,7200
8,2016,1414,"Osweiler, Brock","QB","hou","h","det",10.14,5400
8,2016,1254,"Smith, Alex","QB","kan","a","ind",9.98,5800
8,2016,1488,"Siemian, Trevor","QB","den","h","sdg",8.84,5100
8,2016,1421,"Manuel, E.J.","QB","buf","h","nwe",3.4,5000
8,2016,1495,"Hogan, Kevin","QB","cle","h","nyj",0.16,5300
8,2016,5071,"Webb, Joe","QB","car","h","ari",0,5000
8,2016,1262,"Clemens, Kellen","QB","sdg","a","den",0,5000
8,2016,1452,"Garoppolo, Jimmy","QB","nwe","a","buf",-0.1,5000
8,2016,2907,"Riddick, Theo","RB","det","a","hou",27.3,5000
8,2016,2612,"Stewart, Jonathan","RB","car","h","ari",24,4900
8,2016,2613,"Forte, Matt","RB","nyj","a","cle",23.8,6400
8,2016,2991,"Gordon, Melvin","RB","sdg","a","den",22.5,5700
8,2016,2930,"Freeman, Devonta","RB","atl","h","gnb",21.8,6500
8,2016,5444,"Elliott, Ezekiel","RB","dal","h","phi",18.8,7200
8,2016,5468,"Booker, Devontae","RB","den","h","sdg",18.4,3700
8,2016,2894,"Gillislee, Mike","RB","buf","h","nwe",18.4,3800
8,2016,5395,"Johnson, David","RB","ari","a","car",17.8,7700
8,2016,2997,"Johnson, Duke","RB","cle","h","nyj",17.6,3900
8,2016,2484,"Sproles, Darren","RB","phi","a","dal",15.3,3700
8,2016,2819,"Powell, Bilal","RB","nyj","a","cle",14.9,3500
8,2016,2818,"Rodgers, Jacquizz","RB","tam","h","oak",14.8,5800
8,2016,2969,"Crowell, Isaiah","RB","cle","h","nyj",14.3,3700
8,2016,2859,"Miller, Lamar","RB","hou","h","det",14.3,6300
8,2016,5448,"Prosise, C.J.","RB","sea","a","nor",14.3,3000
8,2016,2467,"Gore, Frank","RB","ind","h","kan",14.2,4700
8,2016,2604,"Hightower, Tim","RB","nor","h","sea",14.2,3000
8,2016,2899,"Murray, Latavius","RB","oak","a","tam",12.1,4500
8,2016,2898,"Michael, Christine","RB","sea","a","nor",11.2,7300
8,2016,2721,"Blount, LeGarrette","RB","nwe","a","buf",10.3,5300
8,2016,2913,"Olawale, Jamize","RB","oak","a","tam",8.8,3000
8,2016,2754,"Mathews, Ryan","RB","phi","a","dal",8.1,4000
8,2016,2987,"West, Charcandrick","RB","kan","a","ind",8,3000
8,2016,5451,"Williams, Jonathan","RB","buf","h","nwe",7.2,3000
8,2016,5375,"Ward, Terron","RB","atl","h","gnb",6.7,0
8,2016,2914,"Ware, Spencer","RB","kan","a","ind",6.7,6800
8,2016,2867,"Turbin, Robert","RB","ind","h","kan",6.4,3000
8,2016,5504,"Watt, Derek","RB","sdg","a","den",6.3,3000
8,2016,2965,"Thompson, Juwan","RB","den","h","sdg",6.1,0
8,2016,5490,"Richard, Jalen","RB","oak","a","tam",5.7,3100
8,2016,2954,"White, James","RB","nwe","a","buf",4.9,4800
8,2016,2495,"Bush, Reggie","RB","buf","h","nwe",4.6,3300
8,2016,2624,"Felton, Jerome","RB","buf","h","nwe",4.6,3000
8,2016,5406,"Ripkowski, Aaron","RB","gnb","a","atl",4.3,3000
8,2016,2960,"Blue, Alfred","RB","hou","h","det",4.1,3000
8,2016,2774,"Smith, Antone","RB","tam","h","oak",3.5,3000
8,2016,2549,"Kuhn, John","RB","nor","h","sea",3.2,3000
8,2016,5449,"Washington, DeAndre","RB","oak","a","tam",3.2,3400
8,2016,2891,"Davis, Knile","RB","gnb","a","atl",2.8,3400
8,2016,2892,"Ellington, Andre","RB","ari","a","car",2.6,3000
8,2016,2887,"Barner, Kenjon","RB","phi","a","dal",2.4,3000
8,2016,2916,"Whittaker, Fozzy","RB","car","h","ari",2,3600
8,2016,2869,"Cadet, Travaris","RB","nor","h","sea",1.7,3000
8,2016,5397,"Zenner, Zach","RB","det","a","hou",1.7,3700
8,2016,5487,"Lasco, Daniel","RB","nor","h","sea",1.5,3000
8,2016,3953,"McCluster, Dexter","RB","sdg","a","den",1.3,3000
8,2016,5494,"Farrow, Kenneth","RB","sdg","a","den",1.2,3000
8,2016,5492,"Smith, Keith","RB","dal","h","phi",1.1,3000
8,2016,2881,"Grimes, Jonathan","RB","hou","h","det",1.1,3000
8,2016,5509,"Jackson, Don","RB","gnb","a","atl",1,3300
8,2016,2871,"Morris, Alfred","RB","dal","h","phi",0.6,3200
8,2016,2963,"Bibbs, Kapri","RB","den","h","sdg",0.4,3000
