"Name","Pos","Team","Oppt","DK.points","DK.salary"
"Carr, Derek","QB","oak","tam","39.82","5900"
"Riddick, Theo","RB","det","hou","27.3","5000"
"Stewart, Jonathan","RB","car","ari","24","4900"
"Cooper, Amari","WR","oak","tam","38.3","7600"
"Nelson, J.J.","WR","ari","car","27.9","3000"
"Bryant, Dez","WR","dal","phi","24.3","7100"
"Kelce, Travis","TE","kan","ind","26.1","4900"
"Gronkowski, Rob","TE","nwe","buf","24.9","7000"
"Denver Defense","Def","den","sdg","22","3700"
"","","","","254.62","49100"
